Date,Price,Open,High,Low,Vol.,Change %
2/16/2017,1012.10,991.00,1013.90,990.05,6.41M,0.03
2/15/2017,981.80,989.20,998.80,968.80,3.63M,-0.01
2/14/2017,987.70,980.00,989.00,972.35,4.67M,0.00
2/13/2017,984.35,972.85,986.10,962.85,6.86M,0.02
2/10/2017,968.30,946.25,972.00,943.30,6.13M,0.02
2/9/2017,946.00,937.00,950.00,936.55,5.95M,0.01
2/8/2017,936.50,936.00,944.10,932.45,3.16M,-0.01
2/7/2017,942.25,933.00,949.80,928.55,4.63M,0.01
2/6/2017,935.25,937.25,943.75,930.55,3.36M,0.00
2/3/2017,936.10,933.80,940.90,921.05,4.21M,0.00
2/2/2017,935.90,917.00,945.00,910.10,5.91M,0.02
2/1/2017,916.75,921.10,923.20,905.15,5.77M,-0.01
1/31/2017,928.60,941.50,941.50,904.35,12.03M,-0.02
1/30/2017,949.35,937.50,951.50,928.85,5.68M,0.01
1/27/2017,942.15,933.85,947.55,901.15,5.32M,0.01
1/25/2017,936.60,946.10,946.80,934.80,4.99M,-0.01
1/24/2017,945.55,950.00,950.00,940.10,3.41M,-0.01
1/23/2017,952.70,945.00,958.00,940.00,3.97M,0.00
1/20/2017,948.70,950.00,953.15,946.00,4.56M,-0.01
1/19/2017,958.10,951.00,959.60,948.10,4.44M,0.01
1/18/2017,950.80,958.10,961.00,949.80,2.98M,0.00
1/17/2017,955.40,956.25,964.00,952.40,2.78M,0.00
1/16/2017,955.65,965.00,965.45,952.45,6.18M,-0.02
1/13/2017,975.80,1030.00,1040.00,962.70,15.64M,-0.02
1/12/2017,1000.05,977.55,1004.40,977.55,5.93M,0.03
1/11/2017,969.10,974.20,978.45,963.95,6.12M,0.00
1/10/2017,970.55,977.00,981.00,967.95,5.97M,0.00
1/9/2017,970.35,972.25,976.95,965.00,5.27M,0.00
1/6/2017,972.25,994.90,998.85,968.05,7.20M,-0.02
1/5/2017,996.15,1001.60,1009.50,988.75,4.10M,0.00
1/4/2017,997.75,995.05,1004.20,992.25,3.54M,0.00
1/3/2017,993.85,1004.10,1004.90,982.00,3.39M,-0.01
1/2/2017,1001.10,1011.10,1012.95,999.35,1.17M,-0.01
12/30/2016,1010.60,998.00,1012.00,992.75,3.63M,0.02
12/29/2016,992.35,1003.75,1008.00,988.15,3.12M,-0.01
12/28/2016,998.50,1002.95,1009.80,995.00,2.74M,0.00
12/27/2016,998.95,982.75,1001.90,980.00,2.46M,0.02
12/26/2016,982.75,988.00,994.00,975.10,1.61M,-0.01
12/23/2016,988.45,984.90,1006.60,973.60,3.65M,0.00
12/22/2016,984.70,1002.50,1007.00,969.50,3.53M,-0.02
12/21/2016,1001.55,1016.00,1022.00,998.25,3.67M,-0.01
12/20/2016,1012.15,1002.00,1019.00,1001.30,3.82M,0.01
12/19/2016,1004.65,1006.10,1008.25,994.10,2.06M,0.00
12/16/2016,1005.15,1003.80,1009.70,997.75,3.22M,0.01
12/15/2016,992.35,997.40,1018.95,989.00,3.98M,-0.01
12/14/2016,999.75,991.00,1004.95,984.10,2.69M,0.01
12/13/2016,990.20,980.50,992.85,971.10,2.43M,0.01
12/12/2016,977.35,982.80,982.80,965.20,2.67M,-0.01
12/9/2016,989.35,985.00,1008.15,981.50,4.32M,0.00
12/8/2016,984.65,970.05,986.10,970.05,2.97M,0.02
12/7/2016,966.40,968.00,973.00,960.20,1.69M,0.00
12/6/2016,966.50,961.80,979.50,961.65,1.78M,0.01
